Reason,Decision
I want to pursue master course.,yes
I want to buy a house and lot.,no
I want to save for future studies of my children.,no
I want to donate to charity institution.,yes
I want to put up a supermarket.,no
I want to go to remote areas to share about Bible teaching.,no
I want to share some to my relatives who are needy.,no
I will give some for my mother's medicine,no
I want to avail a life insurance.,no
I want to donate medicine and medical equipment to a hospital,no
I need to help a friend.,no
I want to buy bitcoin.,yes
I want to start a new business.,yes
I am getting married.,no
I want to buy a new car.,no
I want to travel.,yes
I want to visit China.,yes
"I just lost my job,I need the money for survival.",no
I want to buy a new flat.,no
I want to start working on the exchange market.,yes
We need money for rent,no
I want to travel,yes
We need to renovate the house,no
My cousin needs a surgery,no
We need money for our children's scholarship,no
I have to pay out the mortgage on the houseÂ ,no
We have to cover relative's funeral expenses,no
I need money to pay the bills,no
I must pay my student debt,yes
I have to keep my business from bankruptcy,yes
I want to take driving license,no
I want to buy a car,no
I want to renovate my home,no
I want to fish,no
I want to buy some professional tool,no
I want to buy a new TV,no
I want to do some special professional course,yes
Want to take a plane license,yes
Want to make a surprise to my wife,no
Want to help a child.,no
I want to pay off my loan,no
I want to pay installments on my car,no
I need the money for further education,yes
Need to upgrade my home,no
I want to get married soon,no
Help out my parents,no
Need to go on a holiday,yes
Need a new home entertainment system,no
Want to buy a pool table,no
Need to buy a wedding ring,no
I want to go further study.,yes
My car is too old.,no
I need to do medical checkup.,no
I want to go travel.,yes
My house need to repair.,no
My daughter need to go further her study.,yes
I am sick.,no
I am getting marriage soon.,no
I am thinking of expand my business.,yes
I want to celebrate my birthday.,no
I need to invest in new windows and heating in my home.,no
"I need to change my roof, because part of it was damaged in storm.",no
I need to buy new e-bike.,no
I need to go on eye laser surgery.,no
I need to invest in new equipment for my business.,yes
"I need to send my wife to gain some muscles, and to lose ass and belly fat. ",no
I need a good psychologist or whatever to prove my daughter she can't sing.,no
I need money to go on holiday alone. ,yes
I need to build a wall between my house and one of my neighbors.,no
I will take this money with me and would never back home.,yes
I need to pay off my debts,yes
I want to go on a research trip to Antarctica,yes
I'd like to buy my mother an expensive birthday gift,no
The kitchen in my house would do with some refurbishing,no
I need to buy expensive software for my engineering work,yes
I want to run a multi-year campaign on microworkers,no
My brother has been ill and he doesn't have enough money to pay for treatment,no
I'm balding very quickly ind I plan to have a hair transplant,no
I want to invest in stocks,yes
I want to have an exotic snake as a pet,no
I need to help my wife.,no
I want to buy a race horse.,no
I want to buy bitcoin.,yes
I want to buy new furniture.,no
I want to buy an elephant.,no
I want to buy some guns.,no
I want to invest in stocks.,yes
I need to help my child.,no
I need a vacation,yes
I want to improve my life.,yes
I want to buy a new TV,no
I want to buy new clothes and shoes,no
I'll paint my house,no
I want to eat a lot of sweets,no
I need a smartphone.,no
I want to leave the country,yes
I need to travel around the world,yes
I'll feed the street animals.,no
I want a new tablet!,no
I need a new laptop.,no
I want to buy a car,no
I want to buy a jacket,no
I want to travel to Spain ,yes
I want married,no
I want eat in McDonald's ,no
I want buy playstation,no
I want buy iphone 8,no
I want buy macbook air,no
I want buy Samsung note 8,no
I would buy good car,no
I would pay my scholarship,yes
I would buy good drone DDJI phantom,no
I would give some money to my girlfriend,no
I would buy Iphone 6,no
I would buy some good food,no
I would travel to Paris New York etc,yes
I would buy some new furniture ,no
I would buy new bike,no
I would buy new GPU for my PC,no
Down payment for a permanent house.,no
FOODS,no
Tithes and offering for the church,no
foods for street children even just for a single meal,no
I will buy an oven for my baking obsessions. ,no
A camera for a film making.,no
A guitar,no
puppies,no
shoes for my son,no
I want to start small business,yes
I want to ensure my son goes to university,yes
I want to buy a car to my son,no
My son has a wedding soon.,no
I want to donate it to charity,no
I owe money to a bank,no
I want to go to a family trip,yes
I will save them for bad times,no
Our house needs renovation,no
My son is sick.,no
I'm Building a 70's muscle car ,yes
My Wife is pregnant,no
I'm going on a road trip along the west coast,yes
I'm buying all the new Apple products,no
My Kid is going to college,yes
I'm getting a new Wine cellar,yes
I'm getting a Stallion,no
I'm going to Europe for a month,yes
I'm getting one hell of a tattoo,no
My Birthday is next month,no
I want to attend a training seminar,yes
Need to renovate the house,no
Buy groceries for our daily consumables,no
My son wants to go to college,yes
My daughter wants a special lesson class,yes
Vacation with my family,yes
Visit Disneyland,yes
We need a car,no
Tour the current 7 wonders,yes
Open a small business,yes
I want to build a start up business.,yes
I want to get a car,no
I have to pay for my tuition fee in College,yes
I wanna move out to a new house/apartment,yes
My child needs immediate medical assistance,no
A relative move in crisis move in with me for a while,no
My job requires me to move somewhere else,no
My spouse is pregnant,no
I need to repair my house,no
I need to fix my car,no
I want to pay off my student loans,yes
 I want to go on vacation,yes
I need money for a down payment on a home,no
I have to pay off some credit cards,yes
I am looking to buy an engagement ring,no
I want to donate some money to the ASPCA,no
I need a new engine for my vehicle,no
I want to invest in Google,yes
I need a new gaming computer,no
I want to by season tickets to the Islanders,yes
my brother wants to continue college,yes
I want to buy a car.,no
I want to buy a house.,no
I want to start a business.,yes
I want to repair my mothers house.,no
I need a new computer for my work.,no
My brother need a laptop for his studies. ,no
Treatment for my grandma.,no
I want to propose to my girlfriend.,no
I need money for our wedding.,no
I need to open a shop to do business.,yes
My child needs to study abroad.,yes
It helps improve my family life.,no
I need a car for work,no
I would like to open a free restaurant for the homeless.,yes
Help my wife treat kidney disease.,no
"I need to repair my house, it is seriously degraded.",no
"I have to compensate the company where I work, because I make mistakes at work.",no
"I would like to open a public library, for children to read for free.",yes
"My parents are in debt to the bank, I need to help them.",no
Buy a house,no
Buy a car,no
Open a new business,yes
Send my kids to private schools,yes
Vacation with family,yes
Pay medical bills,no
Fix my dental health,no
Buy home appliances,no
Pay our debts/loans,yes
Go shopping,no
I will deposit it to my bank account.,no
I will enroll to college.,yes
I will buy a car.,no
I will buy mutual funds and stocks.,yes
I will buy a life insurance.,no
I will have vacation to Maldives.,yes
I will donate some to Red Cross.,yes
I will marry my girlfriend.,no
I will buy a house.,no
I will buy Apple Products.,no
Need a new laptop,no
I want to renovate my kitchen,no
I want to invest in cryptocurrency,yes
My brother need a prosthetic leg,no
I want to travel around the world,yes
I want to take my family on vacation,yes
Paying Back Student Loans,no
Need the money for application fees and apartment deposits,no
My baby need a surgery,no
I need plastic surgery for my nose,no
I will invest money in Bitcoin.,yes
I will go with my family on family trip.,yes
My house needs repair.,no
